	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
0	12%	Alsace, Alsace, France	750 ml	White	4/1/2018		Vintage '59 Imports	$25,  Buy Now	Pinot Blanc	Domaine Pfister	A touch of Mirabelle plum joins a fresh Conference pear note on the nose. The same fresh, clean flavors are abundant on the refreshing palate, which is toned, dry and has lovely concentration and poise.	90	1	Anne Krebiehl MW	Domaine Pfister 2016 Pinot Blanc (Alsace)	https://www.winemag.com/buying-guide/domaine-pfister-2016-pinot-blanc-alsace/
1	7.5%	Mosel, Germany	750 ml	White	4/1/2018	Blue Slate Kabinett	Loosen Bros. USA	$22,  Buy Now	Riesling	Dr. Loosen	Juicy white grapefruit and lime notes are accented by hints of smoke, spice and crushed earth in this easy drinking yet exhilarating kabinett. It's light footed and approachably fruity yet lingers on a refreshing mineral finish.	90	2	Anna Lee C. Iijima	Dr. Loosen 2016 Blue Slate Kabinett Riesling (Mosel)	https://www.winemag.com/buying-guide/dr-loosen-2016-blue-slate-kabinett-riesling-mosel/
2	8%	Mosel, Germany	750 ml	White	4/1/2018	Bernkasteler alte Badstube am Doctorberg Spätlese	Winesellers, Ltd	$28,  Buy Now	Riesling	Dr. Pauly Bergweiler	While initially closed and earthy, time and aeration coax prettier notes of blossom, melon and peach. It's still a deeply mineral spätlese, full of crushed stone and earth, but also a bounty of ripe stone fruit and tangerine. The finish is moderately long, ending on a slightly astringent crushed-vitamin note.	90	3	Anna Lee C. Iijima	Dr. Pauly Bergweiler 2016 Bernkasteler alte Badstube am Doctorberg Spätlese Riesling (Mosel)	https://www.winemag.com/buying-guide/dr-pauly-bergweiler-2016-bernkasteler-alte-badstube-am-doctorberg-spatlese-riesling-mosel/
3	14.7%	Red Mountain, Columbia Valley, Washington, US	750 ml	Red	4/1/2018	Upright Klipsun Vineyards		$39,  Buy Now	Merlot	Efeste	Aromas of dried herb, dark cherry, black raspberry and barrel spice are at the fore on this 100% varietal wine. They lead to sleek cherry and cranberry flavors that provide intrigue.	90	4	Sean P. Sullivan	Efeste 2014 Upright Klipsun Vineyards Merlot (Red Mountain)	https://www.winemag.com/buying-guide/efeste-2014-upright-klipsun-vineyards-merlot-red-mountain/
4	13%	Western Cape, South Africa	750 ml	White	4/1/2018		Meridian Prime Inc	$22,  Buy Now	Chardonnay	Eikendal	Somewhat shy and reserved at first, with time this comes around to reveal pleasantly nuanced notes of white peach, pear and pineapple core, as well as hints of white florals. There's a vibrant verve to the palate, with nervy notes of green plum and lime rind that carry through to the clean, mouthwatering finish. Drink now–2020.	90	5	Lauren Buzzeo	Eikendal 2015 Chardonnay (Western Cape)	https://www.winemag.com/buying-guide/eikendal-2015-chardonnay-western-cape/
5	13.2%	Carneros, Napa-Sonoma, California, US	750 ml	White	4/1/2018	Grace Benoist Ranch Estate Grown		$32,  Buy Now	Chardonnay	Etude	This likable white is made in a light vibrant style, utilizing only neutral oak. Apricot fuzz and mellow toast ride along a thick acid-driven road of green apple skin, melon and fig.	90	6	Virginie Boone	Etude 2015 Grace Benoist Ranch Estate Grown Chardonnay (Carneros)	https://www.winemag.com/buying-guide/etude-2015-grace-benoist-ranch-estate-grown-chardonnay-carneros/
6	15.3%	Napa Valley, Napa, California, US	750 ml	Red	4/1/2018			$50,  Buy Now	Cabernet Sauvignon	Gallo Signature Series	This is a 100% varietal wine from William Hill Estate grapes. It is a softly textured effort that offers the perfect amount of underlying tannic grip. Cinnamon, red currant and plum flavors complement cured meat, black olive, soy and black licorice.	90	7	Virginie Boone	Gallo Signature Series 2014 Cabernet Sauvignon (Napa Valley)	https://www.winemag.com/buying-guide/gallo-signature-series-2014-cabernet-sauvignon-napa-valley/
7	13.5%	Dundee Hills, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018			$35,  Buy Now	Pinot Noir	Holloran	The winery's Dundee Hills bottling mixes fruit from three vineyards, two dating back to the 1970s. Black-cherry fruit fills out with nuances of black olive, black tea and roasted coffee. Everything is handled with balance and clarity, and the finishing tannins are light and supple.	90	8	Paul Gregutt	Holloran 2014 Pinot Noir (Dundee Hills)	https://www.winemag.com/buying-guide/holloran-2014-pinot-noir-dundee-hills/
8	12%	Alsace, Alsace, France	750 ml	Red	4/1/2018	Classic	Frederick Wildman &amp; Sons, Ltd	$120,  Buy Now	Pinot Noir	Hugel	High-toned, vivid notes of red, tart cherry rise from the glass. The palate adds more dimension and richness to the fruit, but this remains slender and wonderfully tart throughout. The tannins are fine but could do with a little more focus. Nonetheless, a rustic charm plays about this.	90	9	Anne Krebiehl MW	Hugel 2014 Classic Pinot Noir (Alsace)	https://www.winemag.com/buying-guide/hugel-2014-classic-pinot-noir-alsace/
9	14.5%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018		Wine Universe Corp	$37,  Buy Now	Red Blend	Icario	Forest floor, truffle, leather, spiced blueberry and scorched-earth aromas all take shape in the glass. Round and juicy, the chewy palate doles out fleshy black cherry, blackberry and licorice alongside polished, seasoned tannins. Drink through 2021.	90	10	Kerin O’Keefe	Icario 2011  Vino Nobile di Montepulciano	https://www.winemag.com/buying-guide/icario-2011-vino-nobile-di-montepulciano/
