https://www.winemag.com/buying-guide/bloomer-creek-2008-dry-gewurztraminer-finger-lakes/	Bloomer Creek 2008 Dry Gewürztraminer (Finger Lakes)	87	An intoxicating bouquet of Indian spices, rose water and lychee, this lovely dry wine is full of soft, plush pink grapefruit and lychee flavors. Like many full bodied Gewürz's, it is a bit broad in the midpalate, but its gorgeously spiced ceylon tea finish makes a lasting impression. A match made in heaven with lighter South Indian, Thai or Chinese fare.	Anna Lee C. Iijima	Price||||$18,  Buy Now	Designation||||Dry	Variety||||Gewürztraminer	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Bloomer Creek	Alcohol||||12.7%	Bottle Size||||750 ml	Category||||White	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/seppeltsfield-nv-cellar-no-7-tawny-port-blend-port-south/	Seppeltsfield NV Cellar No. 7 Tawny Port (South Australia)	87	Blended to an average of five years of age, this wine is a soft, easy-drinking Australian tawny, with subtle nutty aromas and flavors of orange zest and caramel.	Joe Czerwinski	Price||||$25,  Buy Now	Designation||||Cellar No. 7 Tawny	Variety||||Port, Port Blend	Appellation||||South Australia, South Australia, Australia	Winery||||Seppeltsfield	Alcohol||||18%	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Negociants USA, Inc	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/newsome-harlow-2008-zinfandel-sierra-foothills-calaveras-county/	Newsome-Harlow 2008 Zinfandel (Calaveras County)	87	This Zin is made from a combination of four of Newsome-Harlow's vineyard sources, including Locke, Big John's, Dalton and Shake Ridge Ranch, the latter three of which are all single-vineyard bottlings, and incorporates 12% Petite Sirah. It's solid, with pretty raspberry flavors and hints of spice and admirable acidity. A little sweeter and tighter than the winery's single-vineyard efforts.	Virginie Boone	Price||||$20,  Buy Now	Variety||||Zinfandel	Appellation||||Calaveras County, Sierra Foothills, California, US	Winery||||Newsome-Harlow	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/leyda-2009-classic-chardonnay-leyda-valley/	Leyda 2009 Classic Chardonnay (Leyda Valley)	87	Wet, salinic, oceanic and appley on the nose, with snappy, crisp, almost tart flavors of apple and citrus. A pure wine with juicy acids and a monotone finish that sports lemon and green apple. Powerful, pure, acidic and zesty for Chilean Chardonnay.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Classic	Variety||||Chardonnay	Appellation||||Leyda Valley, Chile	Winery||||Leyda	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||The Winebow Group	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/vionta-2009-limited-release-albarino-rias-baixas/	Vionta 2009 Limited Release Albariño (Rías Baixas)	87	Fairly pungent, with apple and lemon aromas that are typical for the variety. The palate has an edge to it and jacked-up acidity that pushes citrus and pineapple flavors toward tangy. With so much citrus character and acidity, it's lasting and scouring.	Michael Schachner	Price||||$15,  Buy Now	Designation||||Limited Release	Variety||||Albariño	Appellation||||Rías Baixas, Galicia, Spain	Winery||||Vionta	Alcohol||||12.5%	Bottle Size||||750 ml	Category||||White	Importer||||Freixenet USA	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/yering-station-2008-little-chardonnay-yarra-valley/	Yering Station 2008 Little Yering Chardonnay (Yarra Valley)	87	Yering Station makes a regular Chardonnay and a Reserve Chardonnay as well; this is its entry-level Chard, and quite a good one. Bright pineapple notes and a hint of grilled fruit are clean and fresh if somewhat straightforward in this medium-bodied wine. Drink now.	Joe Czerwinski	Price||||$13,  Buy Now	Designation||||Little Yering	Variety||||Chardonnay	Appellation||||Yarra Valley, Victoria, Australia	Winery||||Yering Station	Alcohol||||13%	Bottle Size||||750 ml	Category||||White	Importer||||Rathbone Wine Group	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/caliterra-2010-reserva-sauvignon-blanc-casablanca-valley/	Caliterra 2010 Reserva Sauvignon Blanc (Casablanca Valley)	86	Apple, grapefruit and citrus aromas are neither hard nor pushy, while the palate is fleshy and offers standard citrus, grapefruit and passionfruit flavors. Pithy on the finish but it holds steady. Made for everyday drinking.	Michael Schachner	Price||||$13,  Buy Now	Designation||||Reserva	Variety||||Sauvignon Blanc	Appellation||||Casablanca Valley, Chile	Winery||||Caliterra	Alcohol||||13%	Bottle Size||||750 ml	Category||||White	Importer||||Buena Cepa Wines	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/o-fournier-2009-urban-maule-sauvignon-blanc-maule-valley/	O. Fournier 2009 Urban Maule Sauvignon Blanc (Maule Valley)	86	A little soft and showing warmer-climate aromas of passionfruit and tropical citrus. The palate is starting to fade just a bit, but it's still pumping out grapefruit, lime and green apple. Perfectly fine to drink now or wait for the 2010 version.	Michael Schachner	Price||||$11,  Buy Now	Designation||||Urban Maule	Variety||||Sauvignon Blanc	Appellation||||Maule Valley, Chile	Winery||||O. Fournier	Alcohol||||13%	Bottle Size||||750 ml	Category||||White	Importer||||Fine Estates From Spain	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/palo-alto-2009-reserva-sauvignon-blanc-maule-valley/	Palo Alto 2009 Reserva Sauvignon Blanc (Maule Valley)	86	Honest, citrusy aromas are simple and nice, while the palate is spritzy, zesty and tastes mildly sweet but also correct with mango, lime, apple and orange flavors. Clean, fun and leaning toward sweet. A good value white to drink immediately.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Reserva	Variety||||Sauvignon Blanc	Appellation||||Maule Valley, Chile	Winery||||Palo Alto	Alcohol||||13%	Bottle Size||||750 ml	Category||||White	Importer||||Banfi Vintners	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/real-companhia-velha-2008-evel-red-douro/	Real Companhia Velha 2008 Evel Red (Douro)	86	Smooth, soft wine, very accessible and up-front. The stewed fruit flavors and fresh acidity give an attractive lift to this open wine.	Roger Voss	Price||||$13,  Buy Now	Designation||||Evel	Variety||||Portuguese Red	Appellation||||Douro, Portugal	Winery||||Real Companhia Velha	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Admiral Imports	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/santa-ema-2008-reserve-barrel-select-shiraz-syrah-syrah-cachapoal-valley/	Santa Ema 2008 Reserve Barrel Select Syrah (Cachapoal Valley)	86	Saturated purple in color and grapy on the nose. The palate is mouthfilling but carries semisharp acidity, and the flavors run in the direction of standard black fruit. Notes of mocha and coconut soften the finish, and overall this is a good but rather generic wine.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Reserve Barrel Select	Variety||||Syrah	Appellation||||Cachapoal Valley, Chile	Winery||||Santa Ema	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Guarachi Wine Partners	Date Published||||2/1/2011	
https://www.winemag.com/buying-guide/santa-ema-2008-reseve-barrel-select-carmenere-cachapoal-valley/	Santa Ema 2008 Reseve Barrel Select Carmenère (Cachapoal Valley)	86	Aromas of crusty blackberry are dark and herbal, while the palate is zesty and fresh, with tight acidity supporting flavors of cassis, black cherry, cola nut and pepper. Toasty, herbal and licorice-like on the finish. A good yet common wine.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Reseve Barrel Select	Variety||||Carmenère	Appellation||||Cachapoal Valley, Chile	Winery||||Santa Ema	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Guarachi Wine Partners	Date Published||||2/1/2011	
