https://www.winemag.com/buying-guide/virginia-louise-2005-pinot-noir-central-valley/	Virginia Louise 2005 Pinot Noir (Central Valley)	81	A rusty, bronzing specimen with super dry and fading tomato aromas and not too much fruit to speak of. More unruly than anything, with barely adequate Pinot character.	Michael Schachner	Price||||$12,  Buy Now	Variety||||Pinot Noir	Appellation||||Central Valley, Chile	Winery||||Virginia Louise	Alcohol||||13.3%	Bottle Size||||750 ml	Category||||Red	Importer||||USA Wine Imports	Date Published||||3/1/2007	
https://www.winemag.com/buying-guide/borthwick-vineyard-2004-pinot-noir-wairarapa/	Borthwick Vineyard 2004 Pinot Noir (Wairarapa)	80	Boasts plenty of savory, mushroomy character, but lacks fruit and turns crisp on the finish.	Joe Czerwinski	Price||||$25,  Buy Now	Variety||||Pinot Noir	Appellation||||Wairarapa, New Zealand	Winery||||Borthwick Vineyard	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Robert Bath Imports	Date Published||||3/1/2007	
https://www.winemag.com/buying-guide/ballast-stone-estate-wines-2005-stonemason-unwooded-chardonnay-currency-creek/	Ballast Stone Estate Wines 2005 Stonemason Unwooded Chardonnay (Currency Creek)	80	This decidedly thick, syrupy-textured Chardonnay displays hints of tropical fruit, but also features some offputting lactic and asphalt notes.	Joe Czerwinski	Price||||$10,  Buy Now	Designation||||Stonemason Unwooded	Variety||||Chardonnay	Appellation||||Currency Creek, South Australia, Australia	Winery||||Ballast Stone Estate Wines	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Shaw Family Vintners (USA) Inc	Date Published||||3/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-2000-vargellas-vinha-velha-vintage-port-blend-port-port/	Taylor Fladgate 2000 Vargellas Vinha Velha Vintage  (Port)	100	The hue of this wine takes dark and inky to a new level—and this wine's intensity isn't confined to its color. This is simply huge in every way, yet because every component is in proportion, the balance is impeccable. Incredibly rich, dense fruit picks up hints of tar and chocolate, while the finish lasts for what must be minutes. Hold.	Joe Czerwinski	Price||||$270,  Buy Now	Designation||||Vargellas Vinha Velha Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-1994-vintage-port-blend-port-port/	Taylor Fladgate 1994 Vintage  (Port)	99	This is very much in the mold of the 1992—maybe slightly less rich but just by a whisker. It's dense without being heavy, with a beautifully spice-filled and long finish. Flavors of chocolate, mint and plum pudding linger elegantly for a few seconds longer than the '92. Hold.	Joe Czerwinski	Price||||$290,  Buy Now	Designation||||Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||375 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-1970-vintage-port-blend-port-port/	Taylor Fladgate 1970 Vintage  (Port)	99	This wine's dark garnet color with minimal bricking suggests a relatively youthful wine and this certainly could age longer, although it's also delicious now. Wonderfully complex floral and herbal scents easily move into deep, rich flavors of chocolate and cherries, sprinkled with a healthy dose of Douro minerality and spice. Drink or hold.	Joe Czerwinski	Price||||$255,  Buy Now	Designation||||Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-2003-vintage-port-65172/	Taylor Fladgate 2003 Vintage  (Port)	97	Inky purple in color, this youngest Taylor vintage Port boasts a floral, wonderfully open and appealing bouquet, backed by layers of rich fruit. What makes this wine extra special is the seductive texture—somewhere between creamy and syrupy—and ample length. Hold.	Joe Czerwinski	Price||||$100,  Buy Now	Designation||||Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-2004-vargellas-vinha-velha-vintage-port-blend-port-port/	Taylor Fladgate 2004 Vargellas Vinha Velha Vintage  (Port)	97	Bottled in July 2006, this wine remains deliciously open, showcasing floral, violet scents intertwined with rich layers of plum and chocolate. Although the firm structure is evident, there's more than adequate fruit for balance. A lovely combination of power and elegance. Hold.	Joe Czerwinski	Price||||$240,  Buy Now	Designation||||Vargellas Vinha Velha Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/kracher-2004-zwischen-den-seen-trockenbeerenauslese-nummer-10-other-white-scheurebe-neusiedlersee/	Kracher 2004 Zwischen den Seen Trockenbeerenauslese Nummer 10 Scheurebe (Neusiedlersee)	97	The most complex of Kracher's 2004 TBAs, as well as the richest in residual sugar. It has mandarin orange, peaches and crystallized fruits. There is freshness, despite its sweetness. It should age magnificently.	Roger Voss	Price||||$90,  Buy Now	Designation||||Zwischen den Seen Trockenbeerenauslese Nummer 10	Variety||||Scheurebe, Other White	Appellation||||Neusiedlersee, Austria	Winery||||Kracher	Alcohol||||8.5%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Vin Divino	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-1997-vintage-port-blend-port-port/	Taylor Fladgate 1997 Vintage  (Port)	96	This is rather flashy for Taylor, with plenty of upfront appeal to its floral, spicy aromas and gobs of fruit. It's very lush and soft on the palate, almost overloaded with blackberries and plums, then firms up and begins to show that Taylor reserve on the dusty finish. Hold.	Joe Czerwinski	Price||||$180,  Buy Now	Designation||||Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/kracher-2004-nouvelle-vague-trockenbeerenauslese-grande-cuvee-nummer-6-white-neusiedlersee/	Kracher 2004 Nouvelle Vague Trockenbeerenauslese Grande Cuvée Nummer 6 White (Neusiedlersee)	96	This 2004, matured in small French oak (hence Nouvelle Vague) is a smooth, sensational blend of grape varieties, rich and at the same time structured, and quite likely to be the wine out of the 10 TBAs Kracher has produced in 2004 that will age beautifully. But enjoy it now for the honey, the dry botrytis and the sweet orange peel and apricot flavors.	Roger Voss	Price||||$80,  Buy Now	Designation||||Nouvelle Vague Trockenbeerenauslese Grande Cuvée Nummer 6	Variety||||White Blend	Appellation||||Neusiedlersee, Austria	Winery||||Kracher	Alcohol||||10.5%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Vin Divino	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/numanthia-termes-sl-2003-termanthia-tempranillo-tinta-de-toro-toro/	Numanthia 2003 Termanthia  (Toro)	96	Sly in the early innings and then menthol, forest, spice, charcoal and earthy black-fruit aromas emerge to rally this bruiser into its prime, which entails monster fruit flavors, rugged tannins, and a stout, peppery finish. The core power on this wine is beyond reproach. Will cellar nicely for at least five years, possibly more.	Michael Schachner	Price||||$201,  Buy Now	Designation||||Termanthia	Variety||||Tinta de Toro, Tempranillo	Appellation||||Toro, Northern Spain, Spain	Winery||||Numanthia	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Jorge Ordóñez Selections	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/taylor-fladgate-1977-vintage-port-blend-port-port/	Taylor Fladgate 1977 Vintage  (Port)	95	The most prominently floral wine in the vertical, but that delicacy is amply backed by plush chocolate and dried fruit flavors. The finish is deceptively soft and welcoming, but still shows great backbone and the ability to go many more years.	Joe Czerwinski	Price||||$260,  Buy Now	Designation||||Vintage	Variety||||Port, Port Blend	Appellation||||Port, Portugal	Winery||||Taylor Fladgate	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Port/Sherry	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/louis-jadot-2004-chardonnay-corton-charlemagne/	Louis Jadot 2004  Corton-Charlemagne	95	An intense, powerful wine, which speaks of the importance of the Corton Charlemagne vineyard and also justifies it. It is smooth and creamy, concentrated white fruits to go with an solid structure that promises great aging.	Roger Voss	Price||||$113,  Buy Now	Variety||||Chardonnay	Appellation||||Corton-Charlemagne, Burgundy, France	Winery||||Louis Jadot	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Kobrand	Date Published||||2/1/2007	
https://www.winemag.com/buying-guide/dr-loosen-2005-wehlener-sonnenuhr-auslese-goldkapsel-riesling-mosel-saar-ruwer/	Dr. Loosen 2005 Wehlener Sonnenuhr Auslese Goldkapsel Riesling (Mosel-Saar-Ruwer)	95	A magnificent auslese, featuring plenty of botrytis character, but also pronounced wet-slate aromas. Sweet flavors of dried apples and honey are balanced by lively citrus notes and underlying minerality. Despite being rich and viscous, it doesn't come across as heavy; instead it ends long and exquisite balanced.	Joe Czerwinski	Price||||$36,  Buy Now	Designation||||Wehlener Sonnenuhr Auslese Goldkapsel	Variety||||Riesling	Appellation||||Mosel-Saar-Ruwer, Germany	Winery||||Dr. Loosen	Alcohol||||7.5%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Loosen Bros. USA	Date Published||||2/1/2007	
