https://www.winemag.com/buying-guide/gerard-bertrand-2016-perles-de-sauvignon-blanc-vin-de-france/	Gérard Bertrand 2016 Perles de Sauvignon Blanc (Vin de France)	82	This wine has the lightest possible taste. Its hints of green fruit, light, citrusy acidity and crisp aftertaste are barely discernible. Drink now.	Roger Voss	Price||||$19,  Buy Now	Designation||||Perles de	Variety||||Sauvignon Blanc	Appellation||||Vin de France, France Other, France	Winery||||Gérard Bertrand	Alcohol||||12%	Bottle Size||||750 ml	Category||||White	Importer||||USA Wine West	Date Published||||10/1/2017	
https://www.winemag.com/buying-guide/casa-de-campo-2016-moscato-argentina/	Casa de Campo 2016 Moscato (Argentina)	81	Matchstick and green pepper lead the aromas of this sweet-and-sour Moscato. Canned-fruit flavors bring some fruit to the palate but finish a bit syrupy.	Michael Schachner	Price||||$8,  Buy Now	Variety||||Moscato, Muscat	Appellation||||Argentina, Other, Argentina	Winery||||Casa de Campo	Alcohol||||12%	Bottle Size||||750 ml	Category||||White	Importer||||Indigo Wine Group	Date Published||||10/1/2017	
https://www.winemag.com/buying-guide/brezza-2013-cannubi-barolo/	Brezza 2013 Cannubi  (Barolo)	98	One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The vibrant palate boasts structure as well as an almost ethereal elegance, delivering succulent red cherry, crushed strawberry, cinnamon and licorice wrapped in refined tannins. Bright acidity lends impeccable balance. Drink from 2021 through 2043.	Kerin O’Keefe	Price||||$60,  Buy Now	Designation||||Cannubi	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Brezza	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Oliver McCrum Wines	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/comm-g-b-burlotto-2013-monvigliero-barolo/	Comm. G. B. Burlotto 2013 Monvigliero  (Barolo)	98	Always the firm's showstopper and one of the best expressions of this celebrated vineyard, the 2013 doesn't disappoint. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. It already shows remarkable finesse and complexity but still needs years to develop to its full and impressive potential. Drink from 2025 through 2050.	Kerin O’Keefe	Price||||$70,  Buy Now	Designation||||Monvigliero	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Comm. G. B. Burlotto	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Bacchanal Wine Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/massolino-2011-vigna-rionda-riserva-barolo/	Massolino 2011 Vigna Rionda Riserva  (Barolo)	98	From one of the most celebrated vineyards in the entire Barolo denomination, this gorgeous wine boasts captivating aromas of new leather, underbrush, ripe berry, tobacco, a whiff of tilled soil and a balsamic note. Seamlessly combining elegance and structure, the long, compelling palate delivers layers of juicy black cherry, ripe raspberry, licorice and clove alongside a backbone of noble tannins. It's already a fantastic showing and will age wonderfully for decades. Drink 2021–2046.	Kerin O’Keefe	Price||||$151,  Buy Now	Designation||||Vigna Rionda Riserva	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Massolino	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vineyard Brands	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/giuseppe-rinaldi-2013-brunate-barolo/	Giuseppe Rinaldi 2013 Brunate  (Barolo)	98	Classic Nebbiolo aromas of new leather, menthol, pressed rose, perfumed wild berry and chopped aromatic herb continuously lift out of the glass. The luminous, delicious palate delivers layers of succulent Marasca cherry, crushed raspberry, cinnamon and star anise set against a backbone of youthfully assertive but fine tannins. Bright acidity gives it wonderful balance while a note of pipe tobacco graces the lingering finish. Drink 2028–2048.	Kerin O’Keefe	Price||||$300,  Buy Now	Designation||||Brunate	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Giuseppe Rinaldi	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Vinifera Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/sandrone-2013-le-vigne-barolo/	Sandrone 2013 Le Vigne  (Barolo)	97	Alluring scents of blue flower, rose petal, woodland berry, baking spice and new leather take center stage along with a balsamic note of menthol. The delicious enveloping palate doles out juicy morello cherry, crushed raspberry, cinnamon and licorice framed in refined tannins and bright acidity. It's polished and already tempting but hold for even more complexity. Drink 2020–2038.	Kerin O’Keefe	Price||||$155,  Buy Now	Designation||||Le Vigne	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Sandrone	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vintus LLC	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/produttori-del-barbaresco-2011-rabaja-riserva-barbaresco/	Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco)	97	Combining finesse and structure, this impressive wine opens with alluring aromas of mature berry, pressed rose, aromatic herb, star anise, new leather and a balsamic note. The palate shows depth and tension, offering raspberry compote, Marasca cherry, licorice, clove and pipe tobacco alongside taut refined tannins. Hold for even more complexity. Drink 2019–2031.	Kerin O’Keefe	Price||||$58,  Buy Now	Designation||||Rabajà Riserva	Variety||||Nebbiolo	Appellation||||Barbaresco, Piedmont, Italy	Winery||||Produttori del Barbaresco	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vias Imports	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/elvio-cogno-2013-ravera-barolo/	Elvio Cogno 2013 Ravera  (Barolo)	97	Wild berry, iris, rose and a potpourri of culinary spice aromas emerge on the nose of this stunning red. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs. Bright acidity and taut tannins provide impeccable balance and an impressive, age-worthy structure. Drink 2025–2043.	Kerin O’Keefe	Price||||$82,  Buy Now	Designation||||Ravera	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Elvio Cogno	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Wilson Daniels Ltd	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/sandrone-2013-aleste-barolo/	Sandrone 2013 Aleste  (Barolo)	97	Formerly known as Cannubi Boschis, this impressive wine boasts alluring aromas of crushed raspberry, baking spice, chopped mint, violet and woodland berry. The savory elegant palate delivers succulent Marasca cherry, strawberry compote, cinnamon, licorice and a hint of coffee. Fine-grained tannins and bright acidity provide polished support and great balance. Drink 2023–2038.	Kerin O’Keefe	Price||||$170,  Buy Now	Designation||||Aleste	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Sandrone	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vintus LLC	Date Published||||9/1/2017	
https://www.winemag.com/buying-guide/giacomo-fenocchio-2013-bussia-barolo/	Giacomo Fenocchio 2013 Bussia  (Barolo)	97	Rose, iris, wild berry and baking spice aromas merge with scents of new leather and a balsamic menthol note on this stunning and classically crafted Barolo. The structured, polished palate delivers juicy Marasca cherry, crushed raspberry, pipe tobacco and licorice framed in tightly knit noble tannins and bright acidity. It's going to just keep getting better and better over the next few decades. Drink from 2023 through 2053.	Kerin O’Keefe	Price||||$55,  Buy Now	Designation||||Bussia	Variety||||Nebbiolo	Appellation||||Barolo, Piedmont, Italy	Winery||||Giacomo Fenocchio	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Skurnik Wines, Inc	Date Published||||9/1/2017	
