https://www.winemag.com/buying-guide/peconic-bay-winery-2001-riesling-long-island-north-fork/	Peconic Bay Winery 2001 Riesling (North Fork of Long Island)	84	Review not available at this time.	Joe Czerwinski	Price||||$13,  Buy Now	Variety||||Riesling	Appellation||||North Fork of Long Island, Long Island, New York, US	Winery||||Peconic Bay Winery	Alcohol||||11%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/prado-rey-2000-roble-tempranillo-tinto-pais-ribera-duero/	Pradorey 2000 Roble  (Ribera del Duero)	84	Meaty in the nose, with leathery aromas. The fruit flavors are in the plum class, and there seems to be a poached-fruit element there as well. The finish feels hefty and disparate; it has no real direction. Which basically describes this wine. It's full and tannic, yet it doesn't seem to have a goal, much less a path to travel upon.	Michael Schachner	Price||||$13,  Buy Now	Designation||||Roble	Variety||||Tinto del Pais, Tempranillo	Appellation||||Ribera del Duero, Northern Spain, Spain	Winery||||Pradorey	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Aveniù Brands, Inc	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/hunt-country-2001-late-harvest-riesling-finger-lakes/	Hunt Country Vineyards 2001 Late Harvest Riesling (Finger Lakes)	83		Joe Czerwinski	Price||||$15,  Buy Now	Designation||||Late Harvest	Variety||||Riesling	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Hunt Country Vineyards	Alcohol||||11%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/lake-chalice-2001-falcon-vineyard-late-harvest-riesling-marlborough/	Lake Chalice 2001 Falcon Vineyard - Late Harvest Riesling (Marlborough)	83	Piny and minty, which combine to give the pineapple fruit a decidedly medicinal edge. It's lightly sweet, balanced by healthy acidity, so might work well with herb-scented desserts, like lavender sorbet.	Joe Czerwinski	Price||||$17,  Buy Now	Designation||||Falcon Vineyard - Late Harvest	Variety||||Riesling	Appellation||||Marlborough, New Zealand	Winery||||Lake Chalice	Alcohol||||12.5%	Bottle Size||||750ML	Category||||Dessert	Importer||||Via Pacifica Imports	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/lemelson-2001-adria-vineyard-dry-riesling-willamette-valley/	Lemelson 2001 Adria Vineyard - Dry Riesling Riesling (Willamette Valley)	83		Joe Czerwinski	Price||||$19,  Buy Now	Designation||||Adria Vineyard - Dry Riesling	Variety||||Riesling	Appellation||||Willamette Valley, Willamette Valley, Oregon, US	Winery||||Lemelson	Alcohol||||13%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/weisingers-ashland-nv-mescolare-lot-12-red-southern-rogue-valley/	Weisinger's of Ashland NV Mescolare - lot 12 Red (Rogue Valley)	83	Spicy and green at first, with an aromatic resemblance to salsa and bell peppers. In the mouth, that bell pepper character never goes away, but with time it becomes more subdued as powerful berry fruit and chocolate come on strong. The finish, however, is hard as nails, courtesy of fierce tannins, thus an affinity for tannin is required to get much from this unusual wine.	Michael Schachner	Price||||$19,  Buy Now	Designation||||Mescolare - lot 12	Variety||||Red Blend	Appellation||||Rogue Valley, Southern Oregon, Oregon, US	Winery||||Weisinger's of Ashland	Alcohol||||12.3%	Bottle Size||||750ML	Category||||Red	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/dr-konstantin-frank-2001-semi-dry-riesling-johannisberg-finger-lakes/	Dr. Konstantin Frank 2001 Semi Dry Johannisberg Riesling (Finger Lakes)	83		Joe Czerwinski	Price||||$13,  Buy Now	Designation||||Semi Dry	Variety||||Johannisberg Riesling, Riesling	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Dr. Konstantin Frank	Alcohol||||12%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/sheldrake-point-2001-semi-dry-spring-riesling-finger-lakes/	Sheldrake Point 2001 Semi-Dry Spring Riesling Riesling (Finger Lakes)	83		Joe Czerwinski	Price||||$13,  Buy Now	Designation||||Semi-Dry Spring Riesling	Variety||||Riesling	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Sheldrake Point	Alcohol||||12.6%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/prejean-2001-dry-riesling-finger-lakes/	Prejean 2001 Dry Riesling (Finger Lakes)	83		Joe Czerwinski	Price||||$9,  Buy Now	Designation||||Dry	Variety||||Riesling	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Prejean	Alcohol||||11%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/raptor-ridge-2000-murto-vineyard-pinot-noir-willamette-valley/	Raptor Ridge 2000 Murto Vineyard Pinot Noir (Willamette Valley)	83	Green and earthy in the nose, with more vegetal aromas than fruity ones. The palate is tangy and also vegetal, while full tannins and some bitterness dominate the finish. Parts of this wine seem to be in shape while others are not. As a whole, it lacks ripeness and overt appeal.	Michael Schachner	Price||||$24,  Buy Now	Designation||||Murto Vineyard	Variety||||Pinot Noir	Appellation||||Willamette Valley, Willamette Valley, Oregon, US	Winery||||Raptor Ridge	Alcohol||||14.5%	Bottle Size||||750ML	Category||||Red	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/willamette-valley-1999-estate-vineyard-chardonnay-willamette-valley/	Willamette Valley Vineyards 1999 Estate Vineyard Chardonnay (Willamette Valley)	83	Bright gold in color, with creamy custard and caramel aromas. The palate is soft, with banana, baked apple and corn-like flavors, while the finish is heavy and rather mute. Very thick and heavy given the level of balance, acidity and fruit pedigree.	Michael Schachner	Price||||$22,  Buy Now	Designation||||Estate Vineyard	Variety||||Chardonnay	Appellation||||Willamette Valley, Willamette Valley, Oregon, US	Winery||||Willamette Valley Vineyards	Alcohol||||13.6%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
https://www.winemag.com/buying-guide/glenora-2001-vintners-select-riesling-finger-lakes/	Glenora 2001 Vintner's Select Riesling (Finger Lakes)	83		Joe Czerwinski	Price||||$15,  Buy Now	Designation||||Vintner's Select	Variety||||Riesling	Appellation||||Finger Lakes, Finger Lakes, New York, US	Winery||||Glenora	Alcohol||||12%	Bottle Size||||750ML	Category||||White	Date Published||||8/1/2003	
