https://www.winemag.com/buying-guide/canella-nv-extra-dry-sparkling-prosecco-conegliano/	Canella NV Extra Dry  (Prosecco di Conegliano)	90	Very smooth in the nose, with fragrant, fresh aromas of flowers, lemon and lime. The dry citrusy palate and soft mouthfeel work perfectly together, while the finish is long, fruity and very pleasant. Quite a tasty sparkler with pure fruit. Its quality is obvious.	Michael Schachner	Price||||$11,  Buy Now	Designation||||Extra Dry	Variety||||Champagne Blend, Sparkling	Appellation||||Prosecco di Conegliano, Veneto, Italy	Winery||||Canella	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Empson USA Ltd	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-brane-cantenac-2000-red-margaux/	Château Brane-Cantenac 2000  Margaux	90	A solid, chunky structure is the hallmark of this big wine. The fruit is black, full of dark tannins. Perhaps it lacks subtlety, but that is replaced with great power and potential.	Roger Voss	Price||||$55,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Margaux, Bordeaux, France	Winery||||Château Brane-Cantenac	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||The House of Burgundy	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-grand-corbin-despagne-2000-red-saint-emilion/	Château Grand Corbin-Despagne 2000  Saint-Émilion	90	François Despagne has certainly pulled this property together after it lost Grand Cru Classé status in 1996. The 2000 shows real class and style. It has plenty of new wood flavors, but they are well judged and have been used to support the solid fruit and black tannins. It is developing fast, but the tannins are there to allow it to age.	Roger Voss	Price||||$25,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Émilion, Bordeaux, France	Winery||||Château Grand Corbin-Despagne	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Eric Solomon Selections	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/canas-feast-1999-red-columbia-valley-red-mountain/	Cana's Feast 1999 Red (Red Mountain)	90	This blend of Cab Sauvignon, Cab Franc and Merlot is young, rambunctious and tight, but also very interesting. The aromas of chocolate, clove, pepper and black plum do the trick: you are drawn in. Intense flavors of cherry, plum, cassis and pepper, and a finish of piquant spices and oak are equally satisfying. Based on how this wine responded to air we say give it a few years to settle down.	Michael Schachner	Price||||$30,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Red Mountain, Columbia Valley, Washington, US	Winery||||Cana's Feast	Alcohol||||13%	Bottle Size||||750 ml	Category||||Red	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-haut-bages-liberal-2000-red-pauillac/	Château Haut Bages Libéral 2000  Pauillac	90	This fifth growth is punching above its class under the control of Claire Villars-Lurton (whose family also runs Chasse-Spleen and La Gurgue). The wine is foursquare, rich and solid, filled with firm tannins.Blackcurrant fruit flavors, herbs and acidity complet a serious style of wine.	Roger Voss	Price||||$34,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Haut Bages Libéral	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Eric Solomon Selections	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-pontet-canet-2000-red-pauillac/	Château Pontet-Canet 2000  Pauillac	90	This is a very modern style of wine, with generous new wood and super-ripe fruit flavors, balancing with polished solid tannins. Very international in style, it is good, but could come from anywhere.	Roger Voss	Price||||$70,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Pontet-Canet	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Diageo Chateau &amp; Estate Wines	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/clos-fourtet-2000-red-saint-emilion/	Clos Fourtet 2000  Saint-Émilion	90	This was the last vintage at Clos Fourtet under the ownership of the Lurtons. They made fine wine, but the potential of the property was never quite realized. The wine just fails to excite: it is rich and concentrated with ripe tannins and some sweetness, but at the same time, there is a layer of acidity and structure which gives the wine a firm, solid shape.	Roger Voss	Price||||$51,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Émilion, Bordeaux, France	Winery||||Clos Fourtet	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Eric Solomon Selections	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-siran-2000-red-margaux/	Château Siran 2000  Margaux	89	This is not as big or as concentrated as many 2000s. But it has elegance and style, along with fine, ripe perfumed fruit and attractive, balancing acidity. Give this wine at least 8 years before drinking.	Roger Voss	Price||||$40,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Margaux, Bordeaux, France	Winery||||Château Siran	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Eric Solomon Selections	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-lalande-borie-2000-red-saint-julien/	Château Lalande-Borie 2000  Saint-Julien	89	This is an excellent wine, full of ripe fruit and blackcurrant flavors, showing style and elegance in its balancing tannins. It is typical of this property in already showing signs of developing fast. Give it five years.	Roger Voss	Price||||$25,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Julien, Bordeaux, France	Winery||||Château Lalande-Borie	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Eric Solomon Selections	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-larmande-2000-red-saint-emilion/	Château Larmande 2000  Saint-Émilion	89	This chateau shows continual improvement, and 2000 is a triumph. The wine is in a modern style, although at this stage its tannins are still firm and dry. Red fruit flavors and blackcurrants promise huge drinking pleasure to come.	Roger Voss	Price||||$25,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Émilion, Bordeaux, France	Winery||||Château Larmande	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Eber Bros./Paramount Brands	Date Published||||6/1/2003	
https://www.winemag.com/buying-guide/chateau-duhart-milon-2000-red-pauillac/	Château Duhart-Milon 2000  Pauillac	89	The younger brother of Lafite, Duhart-Milon exhibits deliciously pure fruit. The wine is deceptively soft, because under the black jelly fruits, there are also dusty, dry, firm tannins. At the end, though, it is the vibrant fruit which lingers.	Roger Voss	Price||||$40,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Duhart-Milon	Alcohol||||N/A	Bottle Size||||750ML	Category||||Red	Importer||||Diageo Chateau &amp; Estate Wines	Date Published||||6/1/2003	
