https://www.winemag.com/buying-guide/undurraga-2007-sibaris-reserva-especial-chardonnay-maipo-valley/	Undurraga 2007 Sibaris Reserva Especial Chardonnay (Maipo Valley)	80	Two years ago Undurraga was making good value Chard. Then the venerable family winery sold; and now there's this: one of the most poorly oaked wines we've come across. It's like dust on a radiator and chemical to boot. And the palate is equally afflicted.	Michael Schachner	Price||||$17,  Buy Now	Designation||||Sibaris Reserva Especial	Variety||||Chardonnay	Appellation||||Maipo Valley, Chile	Winery||||Undurraga	Alcohol||||14%	Bottle Size||||750 ml	Category||||White	Importer||||Undurraga USA	Date Published||||7/1/2008	
https://www.winemag.com/buying-guide/chateau-petrus-2005-red-pomerol/	Château Pétrus 2005  Pomerol	100	As so often, Pétrus has the ability to charm and impress, to seduce and overwhelm. This 2005, one of the greatest vintages from this great chateau, is massive and concentrated, with flavors of ripe black figs, chocolate and dark plums. Put that all together and the result is the utmost deliciousness, freshness and elegance. A major wine. Imported by Etablissements Jean-Pierre Moueix.	Roger Voss	Price||||$6000,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pomerol, Bordeaux, France	Winery||||Château Pétrus	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Etablissements Jean-Pierre Moueix	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-latour-2005-red-pauillac/	Château Latour 2005  Pauillac	100	A great wine, the summation of a great vintage in Bordeaux. The core of richness, the dense, bone-dry tannins, the black currants, red berries and black plum skins are the elements, but it's the way they have been integrated that makes this such an impressive wine. There is great elegance as well, a fabulous counterpoint to such power. Cellar for at least 15 years, but this will keep forever. Imported by Diageo Chateau & Estates and multiple U.S. importers.	Roger Voss	Price||||$2000,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Latour	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Château Latour	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-lafite-rothschild-2005-red-pauillac/	Château Lafite Rothschild 2005  Pauillac	99	Initially dense, almost black enough to be attacked with a knife. But then it becomes apparent that this is a beautifully integrated, balanced wine, bringing together power, with the hallmark Lafite style and poise. In the end, you have a wine that promises an impressive aging potential along with delicious black currant fruits, acidity and a layer of striking tannins. Imported by Domaines Barons de Rothschild and multiple U.S. importers.	Roger Voss	Price||||$1200,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Lafite Rothschild	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Domaines Barons de Rothschild	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-haut-brion-2005-red-pessac-leognan/	Château Haut-Brion 2005  Pessac-Léognan	98	A big, virile wine, dominated by dark and firm tannins. The structure comes from powerful black fruits, the wood only showing as dry edge to the tannins. It's firm, obviously destined for long aging, with initial blackberry fruits powering through the density. A stupendous wine that will last many decades.	Roger Voss	Price||||$1500,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pessac-Léognan, Bordeaux, France	Winery||||Château Haut-Brion	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Domaine Clarence Dillon	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-cos-destournel-2005-red-saint-estephe/	Château Cos d'Estournel 2005  Saint-Estèphe	97	Saint-Estèphe has a reputation for tannins, and this 2005 Cos lives up to that. But it does much more, because the tannins add richness along with intensely ripe black fruits, dark plums and figs. The dense tannins are finely balanced with fresh acidity, and a long-lasting aftertaste. Impressive.	Roger Voss	Price||||$250,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Estèphe, Bordeaux, France	Winery||||Château Cos d'Estournel	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Chateau Cos d'Estournel	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-leoville-barton-2005-red-saint-julien/	Château Léoville Barton 2005  Saint-Julien	97	Power and elegance merge effortlessly in this superb wine. Its pure black currant fruit is tightly coiled, supported by just the right amount of firm tannins. Great aging potential. A triumph.	Roger Voss	Price||||$150,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Saint-Julien, Bordeaux, France	Winery||||Château Léoville Barton	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Château Léoville Barton	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-mission-haut-brion-2005-red-pessac-leognan/	Château La Mission Haut-Brion 2005  Pessac-Léognan	97	Dark and dense, but with such opulent fruit, this is a year when La Mission shows its softer, richer side by comparison with neighbor Haut-Brion. There is spice and exotic and generous red fruits to give with the concentration. It has great power, but it also has a velvet structure.	Roger Voss	Price||||$1500,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pessac-Léognan, Bordeaux, France	Winery||||Château La Mission Haut-Brion	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Domaine Clarence Dillon	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-trotanoy-2005-red-pomerol/	Château Trotanoy 2005  Pomerol	96	Certainly it is firm, with impressive power. But the smoothness of the ripe black fruits as they combine with the beautifully judged wood show a contrast of tension with the dense, chewy core. At its heart, this wine is dark and solid and concentrated, promising long aging.	Roger Voss	Price||||$250,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pomerol, Bordeaux, France	Winery||||Château Trotanoy	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Etablissements Jean-Pierre Moueix	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-pichon-longueville-2005-red-pauillac/	Château Pichon Longueville 2005  Pauillac	96	A great, classic Pauillac, with its dark, dense, almost black currant flavors stirred together with immense tannins. The layers of dryness, fresh fruits, acidity and ripeness are all coming together into a magnificent structure. Age for at least 20 years.	Roger Voss	Price||||$225,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Pichon Longueville	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Château Pichon-Longueville	Date Published||||6/1/2008	
https://www.winemag.com/buying-guide/chateau-lynch-bages-2005-red-pauillac/	Château Lynch-Bages 2005  Pauillac	96	Classic Lynch-Bages with just a bit of extra power and richness. While the tannins are structured, it is the velvety fruit that rolls around the mouth that is the most dominant character. It is coming together into a wine that will be big and dense, but never over the top.	Roger Voss	Price||||$115,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Pauillac, Bordeaux, France	Winery||||Château Lynch-Bages	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||Château Lynch-Bages	Date Published||||6/1/2008	
