https://www.winemag.com/buying-guide/agramont-2000-chardonnay-navarra/	Agramont 2000 Chardonnay (Navarra)	81	The bright golden color and mounds of buttery oak don't do this varietally incorrect Chard much service. Then giant oaky flavors dominate what little pear fruit exists, while the finish is grainy and resinous. Overall it lacks focus and style.	Michael Schachner	Price||||$9,  Buy Now	Variety||||Chardonnay	Appellation||||Navarra, Northern Spain, Spain	Winery||||Agramont	Alcohol||||13%	Bottle Size||||750ML	Category||||White	Importer||||Dime Group International	Date Published||||11/1/2002	
https://www.winemag.com/buying-guide/angaro-2000-finca-celia-red-uco-valley/	Angaro 2000 Finca la Celia Red (Uco Valley)	81	What some might generously call “terroir” will probably come across as funky and barnyardy to most. It just doesn't smell that great. Flavors of berry syrup, currant and rhubarb are present on the palate and the finish. This is clearly not the best that Argentina has to offer. It's 75% Malbec and 25% Syrah.	Michael Schachner	Price||||$6,  Buy Now	Designation||||Finca la Celia	Variety||||Red Blend	Appellation||||Uco Valley, Mendoza Province, Argentina	Winery||||Angaro	Alcohol||||13%	Bottle Size||||750ML	Category||||Red	Importer||||Shaw-Ross International Importers	Date Published||||11/1/2002	
https://www.winemag.com/buying-guide/marques-puerto-2000-cosecha-2000-white-rioja/	Marqués del Puerto 2000 Cosecha 2000 White (Rioja)	81	The FB stands for fermented in barrel, but everything about it is strange. The aromas are of wheat and creamed corn, while the flavors are at once citrusy and then, in the next moment, akin to pepper or chilies. The finish is slightly pickled and flat. This wine seems to have lost its verve, assuming it once had verve.	Michael Schachner	Price||||$17,  Buy Now	Designation||||Cosecha 2000	Variety||||White Blend	Appellation||||Rioja, Northern Spain, Spain	Winery||||Marqués del Puerto	Alcohol||||12%	Bottle Size||||750ML	Category||||White	Importer||||Marie Brizard Wines &amp; Spirits	Date Published||||11/1/2002	
https://www.winemag.com/buying-guide/helmut-lang-1997-eiswein-cuvee-white-neusiedlersee/	Helmut Lang 1997 Eiswein Cuvee White (Neusiedlersee)	81	There are intense aromas of vanilla and sweet fruits, while the palate is light and rather undefined, with some caramel flavors. It is opulently sweet, but one-dimensional.	Roger Voss	Price||||$38,  Buy Now	Designation||||Eiswein Cuvee	Variety||||White Blend	Appellation||||Neusiedlersee, Austria	Winery||||Helmut Lang	Alcohol||||N/A	Bottle Size||||750ML	Category||||Dessert	Importer||||Romano Brands	Date Published||||11/1/2002	
https://www.winemag.com/buying-guide/vina-carossa-nv-tinto-red-other/	Viña Carossa NV Tinto Red (Spain)	80	You read that correctly: This wine has no vintage on the label nor a specific appellation. And what about the wine itself? It's flowery, almost artificial, in the nose—it literally smells like a powdered drink mix. In the mouth, the plum fruit is candied, while the body is bulky.	Michael Schachner	Price||||$5,  Buy Now	Designation||||Tinto	Variety||||Red Blend	Appellation||||Spain, Spain Other, Spain	Winery||||Viña Carossa	Alcohol||||12%	Bottle Size||||750ML	Category||||Red	Importer||||Victoire Imports	Date Published||||11/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-vendange-tardive-clos-jebsal-pinot-grigio-gris-gris-alsace/	Domaine Zind-Humbrecht 2000 Vendange Tardive Clos Jebsal Pinot Gris (Alsace)	96		Roger Voss	Price||||$75,  Buy Now	Designation||||Vendange Tardive Clos Jebsal	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-grand-cru-brand-riesling-alsace/	Domaine Zind-Humbrecht 2000 Grand Cru Brand Riesling (Alsace)	96		Roger Voss	Price||||$85,  Buy Now	Designation||||Grand Cru Brand	Variety||||Riesling	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Kermit Lynch Wine Merchant	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-grand-cru-hengst-gewurztraminer-gewurztraminer-alsace/	Domaine Zind-Humbrecht 2000 Grand Cru Hengst Gewurztraminer (Alsace)	96		Roger Voss	Price||||$68,  Buy Now	Designation||||Grand Cru Hengst	Variety||||Gewürztraminer, Gewürztraminer	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-vendange-tardive-goldert-gewurztraminer-gewurztraminer-alsace/	Domaine Zind-Humbrecht 2000 Vendange Tardive Goldert Gewurztraminer (Alsace)	95		Roger Voss	Price||||$90,  Buy Now	Designation||||Vendange Tardive Goldert	Variety||||Gewürztraminer, Gewürztraminer	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-grand-cru-clos-windsbuhl-gewurztraminer-gewurztraminer-alsace/	Domaine Zind-Humbrecht 2000 Grand Cru Clos Windsbuhl Gewurztraminer (Alsace)	95		Roger Voss	Price||||$59,  Buy Now	Designation||||Grand Cru Clos Windsbuhl	Variety||||Gewürztraminer, Gewürztraminer	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-grand-cru-clos-saint-urbain-pinot-grigio-gris-gris-alsace/	Domaine Zind-Humbrecht 2000 Grand Cru Clos Saint Urbain Pinot Gris (Alsace)	94		Roger Voss	Price||||$85,  Buy Now	Designation||||Grand Cru Clos Saint Urbain	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2000-grand-cru-clos-saint-urbain-riesling-alsace/	Domaine Zind-Humbrecht 2000 Grand Cru Clos Saint Urbain Riesling (Alsace)	94		Roger Voss	Price||||$84,  Buy Now	Designation||||Grand Cru Clos Saint Urbain	Variety||||Riesling	Appellation||||Alsace, Alsace, France	Winery||||Domaine Zind-Humbrecht	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Eric Solomon Selections	Date Published||||10/1/2002	
