https://www.winemag.com/buying-guide/nuevomundo-2005-reserva-sauvignon-blanc-maipo-valley/	Nuevomundo 2005 Reserva Sauvignon Blanc (Maipo Valley)	81	Very light and mute smelling, but overtly aggressive, tart and acidic in the mouth. Loads up on the green apple skins and tangerine in building a one-dimensional flavor profile. Teeters on being sour.	Michael Schachner	Price||||$15,  Buy Now	Designation||||Reserva	Variety||||Sauvignon Blanc	Appellation||||Maipo Valley, Chile	Winery||||Nuevomundo	Alcohol||||13%	Bottle Size||||750ML	Category||||White	Importer||||Organic Vintners	Date Published||||3/1/2006	
https://www.winemag.com/buying-guide/domaines-schlumberger-2001-grand-cru-kessler-pinot-grigio-gris-gris-alsace/	Domaines Schlumberger 2001 Grand Cru Kessler Pinot Gris (Alsace)	95	This Pinot Gris shows sweetness, some honey but also a fine mineral structure, which promises aging at least for 10 years. Imported by Maisons Marques & Domaines USA.	Roger Voss	Price||||$24,  Buy Now	Designation||||Grand Cru Kessler	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Domaines Schlumberger	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Maisons Marques &amp; Domaines USA	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/domaines-schlumberger-1999-cuvee-clarisse-selection-grains-nobles-pinot-grigio-gris-gris-alsace/	Domaines Schlumberger 1999 Cuvée Clarisse Sélection de Grains Nobles Pinot Gris (Alsace)	95	A pure, beautifully structured wine, with layers of dry botrytis delicately time, a great balancing act, and it manages to retain varietal character, hard to do with sweet wines. Imported by Maisons Marques & Domaines USA.	Roger Voss	Price||||$83,  Buy Now	Designation||||Cuvée Clarisse Sélection de Grains Nobles	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Domaines Schlumberger	Alcohol||||N/A	Bottle Size||||750ML	Category||||Dessert	Importer||||Maisons Marques &amp; Domaines USA	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/johannishof-2003-johannisberger-holle-beerenauslese-riesling-rheingau/	Johannishof 2003 Johannisberger Hölle Beerenauslese Riesling (Rheingau)	95	Wonderfully rich and sweet, yet while this completely coats the palate with superripe apples and honey flavors, it never seems like too much. Despite low acidity, the sweetness is balanced by powerful minerality on the long finish. Imported by Valckenberg International, Inc.	Joe Czerwinski	Price||||$132,  Buy Now	Designation||||Johannisberger Hölle Beerenauslese	Variety||||Riesling	Appellation||||Rheingau, Germany	Winery||||Johannishof	Alcohol||||7.5%	Bottle Size||||375ML	Category||||White	Importer||||Valckenberg International, Inc	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/leon-beyer-2000-cuvee-des-comtes-deguisheim-pinot-grigio-gris-tokay-alsace/	Leon Beyer 2000 Cuvée des Comtes d'Eguisheim Tokay Pinot Gris (Alsace)	94	A rich, dry style, packed with spice and deep, almost brooding, fruit. From vines in the grand cru vineyards of Eichberg and Pfersigberg, this wine bears complex flavors of toast, nutmeg and pepper, along with white fruits. Still young, this wine will evolve over the next 5–10 years. Imported by Martine's Wines.	Roger Voss	Price||||$46,  Buy Now	Designation||||Cuvée des Comtes d'Eguisheim	Variety||||Tokay Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Leon Beyer	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Martine's Wines	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/leon-beyer-1998-selection-grains-nobles-pinot-grigio-gris-tokay-alsace/	Leon Beyer 1998 Sélection de Grains Nobles Tokay Pinot Gris (Alsace)	94	Beyer makes a habit of holding back old vintages of SGN wines, selling them in half bottles. Even for this producer, a believer in dry Alsace wines, the sweetness of this SGN style is impossible to avoid. But the sweetness is tempered by toasty, mature fruit that shows elegance as much as richness, great acidity and botrytis. Imported by Martine's Wines.	Roger Voss	Price||||$60,  Buy Now	Designation||||Sélection de Grains Nobles	Variety||||Tokay Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Leon Beyer	Alcohol||||N/A	Bottle Size||||375ML	Category||||Dessert	Importer||||Martine's Wines	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/feiler-artinger-2001-ruster-ausbruch-pinot-cuvee-riesling-white-burgenland/	Feiler-Artinger 2001 Ruster Ausbruch Pinot Cuvée White Riesling (Burgenland)	94	This beautiful wine shows great elegance. It is not just sweet, it is sophisticated as well, bringing delicious acidity, dryness and exotic fruits. To finish, there is a fruit salad of flavors, combined with spice and a lingering aftertaste. Imported by Winemonger.com.	Roger Voss	Price||||$37,  Buy Now	Designation||||Ruster Ausbruch Pinot Cuvée	Variety||||White Riesling, Riesling	Appellation||||Burgenland, Austria	Winery||||Feiler-Artinger	Alcohol||||N/A	Bottle Size||||375ML	Category||||Dessert	Importer||||Winemonger	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/trimbach-2000-selection-grains-nobles-pinot-grigio-gris-gris-alsace/	Trimbach 2000 Sélection de Grains Nobles Pinot Gris (Alsace)	94	Already developing a depth of orange-gold color, this wine is maturing beautifully. It is more rich than overwhelmingly sweet, showing structure, acidity and a toasty character. A finely crafted wine, packed with intense flavors and a fresh aftertaste. Imported by Diageo Chateau & Estates.	Roger Voss	Price||||$150,  Buy Now	Designation||||Sélection de Grains Nobles	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Trimbach	Alcohol||||N/A	Bottle Size||||750ML	Category||||Dessert	Importer||||Diageo Chateau &amp; Estate Wines	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/domaines-schlumberger-2002-grand-cru-kitterle-pinot-grigio-gris-gris-alsace/	Domaines Schlumberger 2002 Grand Cru Kitterlé Pinot Gris (Alsace)	94	A beautiful wine, balancing acidity, spice and fresh peach flavors with structure and ageability. This brings out all the characters of great Pinot Gris, elegance and power combining in harmony. Imported by Maisons Marques & Domaines USA.	Roger Voss	Price||||$44,  Buy Now	Designation||||Grand Cru Kitterlé	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Domaines Schlumberger	Alcohol||||N/A	Bottle Size||||750 ml	Category||||White	Importer||||Maisons Marques &amp; Domaines USA	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/dr-pauly-bergweiler-2004-bernkasteler-alte-badstube-am-doctorberg-beerenauslese-riesling-mosel-saar-ruwer/	Dr. Pauly Bergweiler 2004 Bernkasteler alte Badstube am Doctorberg Beerenauslese Riesling (Mosel-Saar-Ruwer)	93	Shows a bit of minerality in its smoky scents, but the Pauly-Bergweiler emphasis is always on sweet, luscious fruit, which plays to this wine's strengths. Candied apples and oranges finish gently, neither overly sweet nor overly acidic. Drink now–2020. Imported by Winesellers Ltd.	Joe Czerwinski	Price||||$90,  Buy Now	Designation||||Bernkasteler alte Badstube am Doctorberg Beerenauslese	Variety||||Riesling	Appellation||||Mosel-Saar-Ruwer, Germany	Winery||||Dr. Pauly Bergweiler	Alcohol||||8%	Bottle Size||||375ML	Category||||Dessert	Importer||||Winesellers, Ltd	Date Published||||2/1/2006	
https://www.winemag.com/buying-guide/josmeyer-2004-grand-cru-brand-pinot-grigio-gris-gris-alsace/	Josmeyer 2004 Grand Cru Brand Pinot Gris (Alsace)	93	Packed with dense, concentrated, pure fruit, layers of flavors piled on each other. At this young stage, the dominant flavor is spice, but there is plenty of fruit hiding, which will come out as it develops. The wine is relatively sweet. Imported by Paterno Wines International.	Roger Voss	Price||||$84,  Buy Now	Designation||||Grand Cru Brand	Variety||||Pinot Gris	Appellation||||Alsace, Alsace, France	Winery||||Josmeyer	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Terlato Wines International	Date Published||||2/1/2006	
