https://www.winemag.com/buying-guide/chateau-sours-2011-rose-rose/	Château de Sours 2011 Rosé (Bordeaux Rosé)	84	Fruity and fresh, this tastes off dry. There is a touch of yeastiness that blows off, leaving wild strawberry and citrus flavors, with a soft, creamy finish.	Roger Voss	Price||||$18,  Buy Now	Variety||||Rosé	Appellation||||Bordeaux Rosé, Bordeaux, France	Winery||||Château de Sours	Alcohol||||12.5%	Bottle Size||||750 ml	Category||||Rose	Importer||||Old Bridge Cellars	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/aguirre-2011-reina-ana-reserva-chardonnay-central-valley/	Aguirre 2011 Reina Ana Reserva Chardonnay (Central Valley)	84	The oily popcorn aromas are not a turn-off, but they do hint at the resiny, sticky palate. Flavors of honeyed white fruits, oak resin, vanilla and toast lead to a short finish with a sugar-like sweetness. Good, but confected and a touch mealy.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Reina Ana Reserva	Variety||||Chardonnay	Appellation||||Central Valley, Chile	Winery||||Aguirre	Alcohol||||13%	Bottle Size||||750 ml	Category||||White	Importer||||Global Alliance Corp	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/chateau-laulerie-2011-rose-red-bergerac/	Château Laulerie 2011 Rosé Red (Bergerac)	84	A caramel-flavored blend of Merlot and Cabernet Sauvignon, this also has fresh, fruity, red-berry-like acidity. Dry, crisp and fragrant.	Roger Voss	Price||||$14,  Buy Now	Designation||||Rosé	Variety||||Bordeaux-style Red Blend	Appellation||||Bergerac, Southwest France, France	Winery||||Château Laulerie	Alcohol||||12.5%	Bottle Size||||750 ml	Category||||Rose	Importer||||Fruit of the Vines, Inc	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/vina-el-aromo-2010-artemisa-late-harvest-muscat-dalexandrie-itata-valley/	Viña el Aromo 2010 Artemisa Late Harvest Muscat d'Alexandrie (Itata Valley)	84	The nose on this Muscat is flat and smells like applesauce and peach syrup. Surprisingly, the palate is bright in feel, with ample acids and flavors of tangy peach, apricot and honey.	Michael Schachner	Price||||$15,  Buy Now	Designation||||Artemisa Late Harvest	Variety||||Muscat d'Alexandrie, Muscat	Appellation||||Itata Valley, Chile	Winery||||Viña el Aromo	Alcohol||||12%	Bottle Size||||375 ml	Category||||Dessert	Importer||||Wein Bauer Inc	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/vina-rosa-2012-palma-sauvignon-blanc-cachapoal-valley/	Viña La Rosa 2012 La Palma Sauvignon Blanc (Cachapoal Valley)	84	Dusty, citrusy aromas form the greeting, while the palate is juicy in style, without much definition beyond zestiness. The flavors offer notes of papaya and nectarine. The finish sizzles for a moment, then fizzles.	Michael Schachner	Price||||$9,  Buy Now	Designation||||La Palma	Variety||||Sauvignon Blanc	Appellation||||Cachapoal Valley, Chile	Winery||||Viña La Rosa	Alcohol||||12.5%	Bottle Size||||750 ml	Category||||White	Importer||||Viña La Rosa USA	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/chateau-le-bourdieu-2010-red-medoc/	Château Le Bourdieu 2010  Médoc	84	An obviously wood-aged wine, this shows a bitter toast character. The fruit is lean, struggling to show through the dark chocolate flavor. It has an austere finish, which is mitigated by its final acidity.	Roger Voss	Price||||$20,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Médoc, Bordeaux, France	Winery||||Château Le Bourdieu	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Cutting Edge Selections	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/georges-vigouroux-2011-pigmentum-rose-malbec-lot/	Georges Vigouroux 2011 Pigmentum Rosé Malbec (Lot)	84	Full bodied and rich, this has flavors of spice, red plum and caramel. It's quite heavy and dense, so drink it with food.	Roger Voss	Price||||$12,  Buy Now	Designation||||Pigmentum Rosé	Variety||||Malbec	Appellation||||Lot, Southwest France, France	Winery||||Georges Vigouroux	Alcohol||||13%	Bottle Size||||750 ml	Category||||Rose	Importer||||Siltstone Wines	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/tres-palacios-2010-reserve-carmenere-maipo-valley/	Tres Palacios 2010 Reserve Carmenère (Maipo Valley)	84	Spicy, dry and leafy aromas control the lightweight bouquet. The palate on this wine feels dry and raw, while a buttery oak note supports the herbal, spicy and brambly flavors and the fiery, short finish.	Michael Schachner	Price||||$12,  Buy Now	Designation||||Reserve	Variety||||Carmenère	Appellation||||Maipo Valley, Chile	Winery||||Tres Palacios	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Skurnik Wines, Inc	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/barton-guestier-2011-gamay-beaujolais/	Barton & Guestier 2011  Beaujolais	84	Light in color, this shows red cherry and strawberry flavors. The tannins are soft, creating an easy wine that is ready to drink.	Roger Voss	Price||||$10,  Buy Now	Variety||||Gamay	Appellation||||Beaujolais, Beaujolais, France	Winery||||Barton &amp; Guestier	Alcohol||||12%	Bottle Size||||750 ml	Category||||Red	Importer||||Barton &amp; Guestier USA	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/chateau-gorre-2010-red-medoc/	Château la Gorre 2010  Médoc	84	This firmly tannic wine has all the structure of 2010 without the fruit. It's a skeleton without flesh, and it will be unlikely to soften in the coming years.	Roger Voss	Price||||$25,  Buy Now	Variety||||Bordeaux-style Red Blend	Appellation||||Médoc, Bordeaux, France	Winery||||Château la Gorre	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Jeff Welburn Selections	Date Published||||3/1/2013	
https://www.winemag.com/buying-guide/tacora-2010-reserva-red-blend-cabernet-sauvignon-carmenere-colchagua-valley/	Tacora 2010 Reserva Cabernet Sauvignon-Carmenère (Colchagua Valley)	84	This has clove, cinnamon, herb and rhubarb notes on the nose. It's creamy and pasty feeling, with a heavy dollop of wood resin. Flavorwise, it's sweet and candied, with caramel, mocha and stewed tomato notes.	Michael Schachner	Price||||$25,  Buy Now	Designation||||Reserva	Variety||||Cabernet Sauvignon-Carmenère, Red Blend	Appellation||||Colchagua Valley, Chile	Winery||||Tacora	Alcohol||||14%	Bottle Size||||750 ml	Category||||Red	Importer||||Protecom Wines	Date Published||||3/1/2013	
