https://www.winemag.com/buying-guide/freixenet-nv-spumante-doux-sparkling-cava-50169/	Freixenet NV Spumante Doux Sparkling (Cava)	80	Sweet and artificial, with a strong hint of Dijon mustard, which seems totally out of place. Not sure who this is aimed at.	Michael Schachner	Price||||$10,  Buy Now	Designation||||Spumante Doux	Variety||||Sparkling Blend, Sparkling	Appellation||||Cava, Catalonia, Spain	Winery||||Freixenet	Alcohol||||11.5%	Bottle Size||||750ML	Category||||Sparkling	Importer||||Freixenet USA	Date Published||||12/31/2005	
https://www.winemag.com/buying-guide/billecart-salmon-1996-cuvee-nicolas-francois-brut-sparkling-champagne/	Billecart-Salmon 1996 Cuvée Nicolas Francois Brut  (Champagne)	95	A very dry style of Champagne that needs food. At this stage, this wine is young, with vibrant acidity  and dense, green fruit. But it has a long future ahead of it, and shortly should show some toast and maturity. Serve this with fish, and appreciate its qualities even more. Imported by Robert Chadderdon Selections.	Roger Voss	Price||||$120,  Buy Now	Designation||||Cuvée Nicolas Francois Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Billecart-Salmon	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Robert Chadderdon Selections	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/jacquesson-fils-nv-cuvee-729-sparkling-champagne/	Jacquesson et Fils NV Cuvée 729  (Champagne)	95	This Champagne, full of richness and fresh acidity, is a wine designed for food. With its weight and intensity of flavor, along with the low dosage, it is still full-bodied, leaving a toasty character. This is the 729th nonvintage blending produced by Jacquesson since 1898 (when the house was 100 years old), hence the number. Imported by Winebow.	Roger Voss	Price||||$45,  Buy Now	Designation||||Cuvée 729	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Jacquesson et Fils	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Sparkling	Importer||||The Winebow Group	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/piper-heidsieck-nv-cuvee-rare-reserve-brut-sparkling-champagne/	Piper-Heidsieck NV Cuvée Rare Réserve Brut  (Champagne)	95	This is a bone dry, deliciously mature Champagne. The fruit aromas and flavors are now submerged beneath a layer of toast. A very fine wine, packed in a beautiful bottle designed by Van Cleef and Arpels. Imported by Remy Cointreau USA.	Roger Voss	Price||||$120,  Buy Now	Designation||||Cuvée Rare Réserve Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Piper-Heidsieck	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Remy Cointreau USA	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/jacquesson-fils-1995-signature-extra-brut-sparkling-champagne/	Jacquesson et Fils 1995 Signature Extra Brut  (Champagne)	95	This Pinot Noir-dominated wine is rich and structured with waves of acidity passing through the white currant, toast and a developing maturity. Extra richness comes from the oak fermentation, but, because of the low dosage, there is also an austerity and minerality about this wine that will find its best expression with food. Imported by Winebow.	Roger Voss	Price||||$90,  Buy Now	Designation||||Signature Extra Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Jacquesson et Fils	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||The Winebow Group	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/krug-nv-grande-cuvee-brut-champagne-49348/	Krug NV Grande Cuvée Brut  (Champagne)	94	This multivintage blend nails the essence of Krug, intense richness of fruit and flavor without weight. Meaty mushroom and soy aromas are balanced by rich red fruits, citrus, toast and mineral notes. Long finish. Imported by Clicquot Inc.	Joe Czerwinski	Price||||$172,  Buy Now	Designation||||Grande Cuvée Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Krug	Alcohol||||12%	Bottle Size||||750ML	Category||||Sparkling	Importer||||Moët Hennessy USA	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/pol-roger-nv-extra-cuvee-reserve-sparkling-champagne/	Pol Roger NV Extra Cuvée Réserve  (Champagne)	94	One of the great nonvintage Champagnes, this is a wine with considerable bottle age, full of toasty flavors. With its gooseberry and apple fruit flavors, it is still fresh, but its great character comes from its supreme elegance. Imported by Frederick Wildman & Sons, Ltd.	Roger Voss	Price||||$40,  Buy Now	Designation||||Extra Cuvée Réserve	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Pol Roger	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Sparkling	Importer||||Frederick Wildman &amp; Sons, Ltd	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/larmandier-bernier-nv-terre-vertus-premier-cru-brut-chardonnay-champagne/	Larmandier-Bernier NV Terre de Vertus Premier Cru Brut Chardonnay (Champagne)	94	A 100% Chardonnay blanc de blancs that is presented without any dosage to soften the acidity. Yet it doesn't seem to matter, because this Champagne is deliciously ripe, packed with mature fruit flavors, a touch of almonds to go with the white currant tastes and a layer of toastiness. Imported by Michael Skurnik Wines.	Roger Voss	Price||||$55,  Buy Now	Designation||||Terre de Vertus Premier Cru Brut	Variety||||Chardonnay	Appellation||||Champagne, Champagne, France	Winery||||Larmandier-Bernier	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Skurnik Wines, Inc	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/taittinger-nv-prelude-grands-crus-brut-champagne-49753/	Taittinger NV Prélude Grands Crus Brut  (Champagne)	94	A blend made entirely from grand cru vineyards, this is a superbly ripe, full wine; a very different, richer one from the normally light Taittinger style. A great Champagne, impressive and worth aging. Imported by Kobrand.	Roger Voss	Price||||$70,  Buy Now	Designation||||Prélude Grands Crus Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Taittinger	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Kobrand	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/bollinger-nv-special-cuvee-brut-champagne-49719/	Bollinger NV Special Cuvée Brut  (Champagne)	94	The Bollinger style is always rich, food friendly and impressive. This wine is all of those things, with power and intensity of flavor along with ripe fruit, a layer of toastiness and a dry aftertaste. This is a style of wine that can take even more bottle aging. Imported by Paterno Wines International.	Roger Voss	Price||||$50,  Buy Now	Designation||||Special Cuvée Brut	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Bollinger	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Terlato Wines International	Date Published||||12/1/2005	
https://www.winemag.com/buying-guide/billecart-salmon-nv-blanc-blancs-grand-cru-brut-chardonnay-champagne/	Billecart-Salmon NV Blanc de Blancs Grand Cru Brut Chardonnay (Champagne)	94	From five grand cru vineyards in the Côte des Blancs, this 100% Chardonnay is a great wine, with some toast and almond flavors showing good bottle age, along with freshness, finesse, ripe white fruits and a structured, lingering aftertaste. Imported by Robert Chadderdon Selections.	Roger Voss	Price||||$65,  Buy Now	Designation||||Blanc de Blancs Grand Cru Brut	Variety||||Chardonnay	Appellation||||Champagne, Champagne, France	Winery||||Billecart-Salmon	Alcohol||||N/A	Bottle Size||||750ML	Category||||Sparkling	Importer||||Robert Chadderdon Selections	Date Published||||12/1/2005	
