https://www.winemag.com/buying-guide/stanton-killeen-nv-classic-other-white-tokay-rutherglen/	Stanton & Killeen NV Classic Tokay (Rutherglen)	89	Powerful tea and bergamot notes are fresh and orangey, balancing deeper, richer notes of toffee and honey. Long on the finish, and not overly sweet.	Joe Czerwinski	Price||||$35,  Buy Now	Designation||||Classic	Variety||||Tokay, Other White	Appellation||||Rutherglen, Victoria, Australia	Winery||||Stanton &amp; Killeen	Alcohol||||18%	Bottle Size||||375 ml	Category||||Port/Sherry	Importer||||Epic Wines	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/stark-conde-2005-unfined-unfiltered-cabernet-sauvignon-stellenbosch/	Stark-Condé 2005 Unfined and Unfiltered Cabernet Sauvignon (Stellenbosch)	89	From small-batch, handcraft producer Stark-Condé, this unfiltered Cab offers personality and elegance. Berry, herbs, fennel and spice on the nose lead into a red that's extremely pretty in the mouth. Good integration of tannins and fruit, and a light minerality throughout give the wine a soft, balanced appeal. Though it will pair well with spiced meat and bolder dishes, the wine is great on its own.	Susan Kostrzewa	Price||||$27,  Buy Now	Designation||||Unfined and Unfiltered	Variety||||Cabernet Sauvignon	Appellation||||Stellenbosch, South Africa	Winery||||Stark-Condé	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vineyard Brands	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/domaine-nizas-2002-le-mas-red-vin-pays-doc/	Domaine de Nizas 2002 Le Mas Red (Vin de Pays d'Oc)	89	A ripe, smooth wine, dominated by vanilla from wood and by red berry fruits. The tannic structure is subservient to the rich layers of mint and herbal flavors, while the fruit dominates. Finishes with chocolate and firm tannins.	Roger Voss	Price||||$13,  Buy Now	Designation||||Le Mas	Variety||||Red Blend	Appellation||||Vin de Pays d'Oc, Languedoc-Roussillon, France	Winery||||Domaine de Nizas	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Clos Du Val Wine/Goelet Wine Estates	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/masies-davinyo-2000-abadal-reserva-red-pla-bages/	Masies d'Avinyo 2000 Abadal Reserva Red (Pla de Bages)	89	Merlot, Cabernet and a splash of Syrah are brought together in solid, inspiring fashion by this Catalonian winery. Cherry and raspberry aromas are hoisted by full oak, while the finish deals a basket of berry flavors and ripeness. For the most part this is an in-your-face wine that's clearly been made from good grapes.	Michael Schachner	Price||||$24,  Buy Now	Designation||||Abadal Reserva	Variety||||Red Blend	Appellation||||Pla de Bages, Catalonia, Spain	Winery||||Masies d'Avinyo	Alcohol||||13%	Bottle Size||||750 ml	Category||||Red	Importer||||Grapes of Spain	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/j-portugal-ramos-2006-vila-santa-shiraz-syrah-syrah-alentejano/	J. Portugal Ramos 2006 Vila Santa Syrah (Alentejano)	89	The perfumes are the central theme of this wine, aromas of roses and flavors of spice, cinnamon, going through the ripe fruit and suggestions of wood. It is a superripe wine, but one which manages to keep in balance.	Roger Voss	Price||||$20,  Buy Now	Designation||||Vila Santa	Variety||||Syrah	Appellation||||Alentejano, Portugal	Winery||||J. Portugal Ramos	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Importer||||The Winebow Group	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/ruinart-nv-blanc-de-blancs-brut-chardonnay-champagne-77234/	Ruinart NV Blanc de Blancs Brut Chardonnay (Champagne)	89	Toasty, floral and full-bodied, with a soft aftertaste, this has a great aromatic swathe initially, with only hints of Chardonnay minerality. The wine is delicious, with ripe white fruits and light acidity to finish.	Roger Voss	Price||||$65,  Buy Now	Designation||||Blanc de Blancs Brut	Variety||||Chardonnay	Appellation||||Champagne, Champagne, France	Winery||||Ruinart	Alcohol||||12.5%	Bottle Size||||750 ml	Category||||Sparkling	Importer||||Moët Hennessy USA	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/penfolds-2004-bin-389-red-blend-cabernet-sauvignon-shiraz-south/	Penfolds 2004 Bin 389 Cabernet Sauvignon-Shiraz (South Australia)	89	Sometimes referred to as a “Baby Grange,” Penfolds has made Bin 389 in 47 consecutive vintages. The 2004—a blend of 53% Cabernet Sauvignon and 47% Shiraz—is rich and full-bodied, with vanilla and spice framing cassis fruit. Picks up hints of chocolate, cinnamon and clove on the dusty, firm finish. Drink 2010–2020.	Joe Czerwinski	Price||||$28,  Buy Now	Designation||||Bin 389	Variety||||Cabernet Sauvignon-Shiraz, Red Blend	Appellation||||South Australia, South Australia, Australia	Winery||||Penfolds	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Foster's Wine Estates Americas	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/off-leash-2006-max-shiraz-syrah-viognier-adelaide-hills/	Off the Leash. 2006 Max Shiraz-Viognier (Adelaide Hills)	89	From a relatively cool growing region, this Shiraz-Viognier is appropriately peppery and bright, with a hint of violets and crisp blueberry and blackberry fruit. The tannins are soft, making this wine instantly accessible, and it finishes peppery and fresh. Drink now–2012. Imported by Tom Eddy Wines.	Joe Czerwinski	Price||||$23,  Buy Now	Designation||||Max	Variety||||Shiraz-Viognier	Appellation||||Adelaide Hills, South Australia, Australia	Winery||||Off the Leash.	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Vintage New World	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/charles-heidsieck-1999-millesime-brut-rose-sparkling-champagne/	Charles Heidsieck 1999 Millésimé Brut Rosé  (Champagne)	89	Showing signs of toasty maturity. Rosé Champagne does age but it becomes much more like regular (white) Champagne. There are only just hints of red fruits as a reminder of its youthful character. The wine though remains delicious.	Roger Voss	Price||||$80,  Buy Now	Designation||||Millésimé Brut Rosé	Variety||||Champagne Blend, Sparkling	Appellation||||Champagne, Champagne, France	Winery||||Charles Heidsieck	Alcohol||||12%	Bottle Size||||750 ml	Category||||Sparkling	Importer||||Remy Cointreau USA	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/gamache-2004-gv-reserve-champoux-vineyard-select-cabernet-sauvignon-columbia-valley-wa/	Gamache 2004 GV Reserve Gamache - Champoux Vineyard Select Cabernet Sauvignon (Columbia Valley (WA))	89	This 50-50 blend from two well-established vineyards is 100% Cabernet Sauvignon. Young and stiff and still quite tannic, it shows compact cassis and blackberry fruit with an earthy underpinning, a hint of stem that adds some bite to the tannins. As time smoothes it and softens the tannins, more of the concentrated fruit should emerge; it's well-made and balanced; a fine example of Washington Cabernet Sauvignon done in a classic Bordeaux style.	Paul Gregutt	Price||||$40,  Buy Now	Designation||||GV Reserve Gamache - Champoux Vineyard Select	Variety||||Cabernet Sauvignon	Appellation||||Columbia Valley (WA), Columbia Valley, Washington, US	Winery||||Gamache	Alcohol||||N/A	Bottle Size||||750 ml	Category||||Red	Date Published||||12/31/2007	
https://www.winemag.com/buying-guide/herdade-esporao-2006-reserva-white-alentejano/	Herdade do Esporão 2006 Reserva White (Alentejano)	89	The white Reserva from Esporão is full-bodied, with a judicious mix of softness and toasty creaminess. There's a great touch of lime to freshen it all up, as well as spice to go with the wood. Aging potential for the next 2–3 years.	Roger Voss	Price||||$16,  Buy Now	Designation||||Reserva	Variety||||Portuguese White	Appellation||||Alentejano, Portugal	Winery||||Herdade do Esporão	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Aidil Wines/Old World Import	Date Published||||12/31/2007	
