https://www.winemag.com/buying-guide/joseph-drouhin-2006-pinot-noir-musigny/	Joseph Drouhin 2006  Musigny	95	For many, this vineyard offers the purest form of Pinot Noir, a seductive, opulent style, with rich fruits dominant, the powerful acidity deceptively sweet. Add to this a tight, firm, smoke-and-toast tannic structure, and this is not only a fine wine now, but one with long-term potential. Keep for at least six years.	Roger Voss	Price||||$380,  Buy Now	Variety||||Pinot Noir	Appellation||||Musigny, Burgundy, France	Winery||||Joseph Drouhin	Alcohol||||13%	Bottle Size||||750 ml	Category||||Red	Importer||||Dreyfus, Ashby &amp; Co	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/alvaro-palacios-2006-finca-dofi-red-priorat/	Alvaro Palacios 2006 Finca Dofi Red (Priorat)	95	Alvaro Palacios is as meticulous as any vintner when it comes to vine maintenance and winemaking. His Finca Dofi blends Garnacha and Cabernet Sauvignon with some Syrah and sometimes Merlot, and the result is extremely impressive vintage after vintage. This wine is alluring, silky smooth and endowed with beautiful herb and mineral notes along with light oak, fine tannins and non-stop length on the finish. It's drinkable right now and should hold steady and/or improve over the next five years. Imported by Rare Wine Company. Editors' Choice.	Michael Schachner	Price||||$90,  Buy Now	Designation||||Finca Dofi	Variety||||Red Blend	Appellation||||Priorat, Catalonia, Spain	Winery||||Alvaro Palacios	Alcohol||||14.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Rare Wine Company	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/joseph-drouhin-2006-clos-vougeot-pinot-noir-clos-vougeot/	Joseph Drouhin 2006 Clos de Vougeot  (Clos de Vougeot)	95	Powerful, opulent and rounded, this is a dense wine. Drouhin owns two parcels on the eastern edge of the slope of Clos de Vougeot, and the wine does show great rich swathes of plums, dry figs, chocolate and sweet jelly, balanced by firm tannins and bright, always rich acidity. An impressive wine.	Roger Voss	Price||||$205,  Buy Now	Designation||||Clos de Vougeot	Variety||||Pinot Noir	Appellation||||Clos de Vougeot, Burgundy, France	Winery||||Joseph Drouhin	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Dreyfus, Ashby &amp; Co	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/prager-2007-klaus-smaragd-riesling-wachau/	Prager 2007 Klaus Smaragd Riesling (Wachau)	95	There is a fascinating mix of taut acidity and smooth honey in this impressive wine. It shows the steely side of the Wachau but also the power from the hot, sunbaked slopes. It has yellow peach, mango and a lemon juiciness. For aging; give it 4–6 years. Imported by Vin Divino.	Roger Voss	Price||||$85,  Buy Now	Designation||||Klaus Smaragd	Variety||||Riesling	Appellation||||Wachau, Austria	Winery||||Prager	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Vin Divino	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/brundlmayer-2008-ried-lamm-gruner-veltliner-kamptal/	Bründlmayer 2008 Ried Lamm Grüner Veltliner (Kamptal)	95	The Lamm vineyard, next door to the Riesling vineyard of Heiligenstein, produces powerful Grüners, and this 2008 is a fine example. It is opulent without being overpowering, the white currants and pears layered with acidity to give balance and texture. As with other great Bründlmayers, this needs aging. Imported by Michael Skurnik Wines.	Roger Voss	Price||||$82,  Buy Now	Designation||||Ried Lamm	Variety||||Grüner Veltliner	Appellation||||Kamptal, Austria	Winery||||Bründlmayer	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Skurnik Wines, Inc	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/prager-2007-achleiten-smaragd-riesling-wachau/	Prager 2007 Achleiten Smaragd Riesling (Wachau)	95	A taut, terroir-driven wine that builds ripe fruits over the tight core of minerality. There is a youthful tang of orange zest over the sweet currants, while the acidity adds fresheness. This wonderful wine just needs aging; give it 5–6 years. Imported by Vin Divino.	Roger Voss	Price||||$76,  Buy Now	Designation||||Achleiten Smaragd	Variety||||Riesling	Appellation||||Wachau, Austria	Winery||||Prager	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Vin Divino	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/prager-2007-achleiten-smaragd-gruner-veltliner-wachau/	Prager 2007 Achleiten Smaragd Grüner Veltliner (Wachau)	94	A glorious, ripe, spicy wine that keeps its origins clear with its tight edge of stone and steel, which brings the acidity under the sweet pear and yellow berry fruits. With its rich, round finale, this is a firm but opulent wine. Imported by Vin Divino.	Roger Voss	Price||||$76,  Buy Now	Designation||||Achleiten Smaragd	Variety||||Grüner Veltliner	Appellation||||Wachau, Austria	Winery||||Prager	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Vin Divino	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/prager-2007-wachstum-bodenstein-smaragd-riesling-wachau/	Prager 2007 Wachstum Bodenstein Smaragd Riesling (Wachau)	94	While it is obviously deliciously rich, this wine also has a finely wrought, precious porcelain character, a delicacy that gives it a wonderful lift. The white fruits are just spiced, with an herbal element, finishing with a soft lilt. Imported by Vin Divino.	Roger Voss	Price||||$85,  Buy Now	Designation||||Wachstum Bodenstein Smaragd	Variety||||Riesling	Appellation||||Wachau, Austria	Winery||||Prager	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Vin Divino	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/joseph-drouhin-2006-pinot-noir-grands-echezeaux/	Joseph Drouhin 2006  Grands-Echezeaux	94	A big, powerful wine that brings together dark tannins and dense fruit. The fruit flavors are ripe black plum buried within the concentrated dryness of the tannin. No question, this needs aging for all its burly potential to be realized.	Roger Voss	Price||||$285,  Buy Now	Variety||||Pinot Noir	Appellation||||Grands-Echezeaux, Burgundy, France	Winery||||Joseph Drouhin	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Dreyfus, Ashby &amp; Co	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/albert-morot-2006-toussaints-premier-cru-pinot-noir-beaune/	Albert Morot 2006 Toussaints Premier Cru  (Beaune)	94	Very mineral and structured, this is a wine that needs aging. The tannins at this stage are firm, dry, dense, forming a solid core. Around this floats the red cherry and red currant fruit flavors, just sweet and lifted by acidity, Give it at least five years.	Roger Voss	Price||||$75,  Buy Now	Designation||||Toussaints Premier Cru	Variety||||Pinot Noir	Appellation||||Beaune, Burgundy, France	Winery||||Albert Morot	Alcohol||||13%	Bottle Size||||750 ml	Category||||Red	Importer||||Robert Kacher Selections	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/joseph-drouhin-2006-clos-mouches-premier-cru-pinot-noir-beaune/	Joseph Drouhin 2006 Clos des Mouches Premier Cru  (Beaune)	94	This is rich, opulent Pinot Noir, its ripe strawberry, black cherry and sweet plums brimming out of the glass. The core of tannins, and smoky wood are more serious, offering aging potential. The wine is young, beautifully ripe, mouthfilling and hedonistic.	Roger Voss	Price||||$85,  Buy Now	Designation||||Clos des Mouches Premier Cru	Variety||||Pinot Noir	Appellation||||Beaune, Burgundy, France	Winery||||Joseph Drouhin	Alcohol||||13%	Bottle Size||||750 ml	Category||||Red	Importer||||Dreyfus, Ashby &amp; Co	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/domaine-laleure-piot-2007-corton-rognet-pinot-noir-corton/	Domaine Laleure-Piot 2007 Corton-Rognet  (Corton)	94	A firm, tightly balanced wine, the intense fruit fitting into a dry, solidly tannic framework. It is ripe, certainly, with a sweet, juicy character, but the dense structure is as important, a core of steely resolve to go with the delicious fruit and acidity. Demands 5–10 years and more aging.	Roger Voss	Price||||$145,  Buy Now	Designation||||Corton-Rognet	Variety||||Pinot Noir	Appellation||||Corton, Burgundy, France	Winery||||Domaine Laleure-Piot	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||Red	Importer||||Robert Kacher Selections	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/domaine-marc-morey-2007-caillerets-premier-cru-chardonnay-chassagne-montrachet/	Domaine Marc Morey 2007 Les Caillerets Premier Cru  (Chassagne-Montrachet)	94	The nose powers with wood and high toast aromas, but the palate reveals sufficient ripe pineapple and yellow fruit flavors to act as a balance. There is a prominent acidity that cuts through this richness. The wine certainly needs 3–4 years for the wood to soften and integrate better with the fruit, but then this will be a superb wine. Imported by Robert Kacher Imports.	Roger Voss	Price||||$102,  Buy Now	Designation||||Les Caillerets Premier Cru	Variety||||Chardonnay	Appellation||||Chassagne-Montrachet, Burgundy, France	Winery||||Domaine Marc Morey	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Robert Kacher Selections	Date Published||||10/1/2009	
https://www.winemag.com/buying-guide/schmelz-2007-pichl-point-smaragd-gruner-veltliner-wachau/	Schmelz 2007 Pichl Point Smaragd Grüner Veltliner (Wachau)	94	Johann Schmelz has produced a voluptuous wine, full of ripe fruits and a velvet texture. Of course, the acidity is there, giving the wine a crisp edge, but it is the rich structure and flavors of apricots, red apples and spice that blend together in a harmonious, balanced whole. Imported by Blue Danube Wine Co.	Roger Voss	Price||||$38,  Buy Now	Designation||||Pichl Point Smaragd	Variety||||Grüner Veltliner	Appellation||||Wachau, Austria	Winery||||Schmelz	Alcohol||||13.5%	Bottle Size||||750 ml	Category||||White	Importer||||Blue Danube Wine Co	Date Published||||10/1/2009	
