https://www.winemag.com/buying-guide/concha-toro-2003-casillero-diablo-carmenere-rapel-valley/	Concha y Toro 2003 Casillero del Diablo Carmenère (Rapel Valley)	87	Exuberant on the nose, with rich blackberry, rubber and bacon. Generous and bright on the palate, where cherry and blackberry flavors start vividly and then are softened by creamy, chocolaty oak. Best of all, there's nothing vegetal about it.	Michael Schachner	Price||||$10,  Buy Now	Designation||||Casillero del Diablo	Variety||||Carmenère	Appellation||||Rapel Valley, Chile	Winery||||Concha y Toro	Alcohol||||13.3%	Bottle Size||||750ML	Category||||Red	Importer||||Banfi Vintners	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/winzer-krems-2003-kremser-pfaffenberg-riesling-kremstal/	Winzer Krems 2003 Kremser Pfaffenberg Riesling (Kremstal)	87	The largest cooperative in Austria produces some great-value Rieslings and Grüner Veltliner, from the Kremstal region, just east of the Wachau. This Riesling is fresh, peachy, racy and crisp, clean and delicious. Imported by Total Wine & More.	Roger Voss	Price||||$17,  Buy Now	Designation||||Kremser Pfaffenberg	Variety||||Riesling	Appellation||||Kremstal, Austria	Winery||||Winzer Krems	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Total Wine &amp; More	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/wimmer-czerny-2003-fumberg-gruner-veltliner-donauland/	Wimmer-Czerny 2003 Fumberg Grüner Veltliner (Donauland)	87	The Czerny family, who have 27 acres of vines on the terraces of the Wagram, make long-lived, bone-dry wines, produced from an organic vineyard. This wine has years to go. It is still fresh, but yielding only grapefruit and spice flavors at this stage. Power and elegance should come later. Imported by Domaine Select Wine Estates.	Roger Voss	Price||||$16,  Buy Now	Designation||||Fumberg	Variety||||Grüner Veltliner	Appellation||||Donauland, Austria	Winery||||Wimmer-Czerny	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Domaine Select Wine &amp; Spirits	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/dr-h-thanisch-erben-muller-burggraef-2003-brauneberger-juffer-sonnenuhr-spatlese-riesling-mosel-saar-ruwer/	Dr. H. Thanisch (Erben Müller-Burggraef) 2003 Brauneberger Juffer-Sonnenuhr Spätlese Riesling (Mosel-Saar-Ruwer)	87	Smells like ultraripe nectarines or peaches, flesh practically oozing from the skins. In the mouth, it's big, rich and enveloping, yet it finishes with a trace of bitter peach pit. Imported by W.J. Deutsch & Sons.	Joe Czerwinski	Price||||$24,  Buy Now	Designation||||Brauneberger Juffer-Sonnenuhr Spätlese	Variety||||Riesling	Appellation||||Mosel-Saar-Ruwer, Germany	Winery||||Dr. H. Thanisch (Erben Müller-Burggraef)	Alcohol||||9.2%	Bottle Size||||750ML	Category||||White	Importer||||Talbert Communications	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/gustave-lorentz-2002-reserve-riesling-alsace/	Gustave Lorentz 2002 Reserve Riesling (Alsace)	87	This is a very pure wine, bone dry and with fine citric flavors. It's fresh and crisp, but there is also great intensity of flavor, with acidity and white fruit flavors. The aftertaste is clean and very refreshing.	Roger Voss	Price||||$18,  Buy Now	Designation||||Reserve	Variety||||Riesling	Appellation||||Alsace, Alsace, France	Winery||||Gustave Lorentz	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Chicago Wine Merchant	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/ilse-mazza-2002-achleiten-smaragd-riesling-wachau/	Ilse Mazza 2002 Achleiten Smaragd Riesling (Wachau)	87	Bears a passing resemblance to Grüner Veltliner in its slightly leafy, peppery notes, but also shows apple and citrus flavors that are distinctively Riesling. Long and minerally on the finish. Imported by Tastings Import Company.	Joe Czerwinski	Price||||$40,  Buy Now	Designation||||Achleiten Smaragd	Variety||||Riesling	Appellation||||Wachau, Austria	Winery||||Ilse Mazza	Alcohol||||13%	Bottle Size||||750ML	Category||||White	Importer||||Tastings Import Company	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/prager-2003-hinter-der-burg-federspiel-gruner-veltliner-wachau/	Prager 2003 Hinter Der Burg Federspiel Grüner Veltliner (Wachau)	87	On the light side, but not lacking for concentration or flavor. Steely and minerally, with lime and tart cantaloupe flavors that finish with unusual freshness and zest for the vintage. Imported by Vin Divino.	Joe Czerwinski	Price||||$22,  Buy Now	Designation||||Hinter Der Burg Federspiel	Variety||||Grüner Veltliner	Appellation||||Wachau, Austria	Winery||||Prager	Alcohol||||12%	Bottle Size||||750ML	Category||||White	Importer||||Vin Divino	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/tscheppe-2001-possnitzberg-reserve-pinot-grigio-gris-gris-styria/	Tscheppe 2001 Possnitzberg Reserve Pinot Gris (Styria)	87	Oakier than Tscheppe's regular bottling but ultimately not any more pleasurable. Toasty, mealy scents mask peach and melon flavors; the mouthfeel is thick and rich. Finishes with a hint of alcohol and a strong taste of nutty oak. Imported by Winemonger.	Joe Czerwinski	Price||||$33,  Buy Now	Designation||||Possnitzberg Reserve	Variety||||Pinot Gris	Appellation||||Styria, Austria	Winery||||Tscheppe	Alcohol||||13.5%	Bottle Size||||750ML	Category||||White	Importer||||Winemonger	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/dopff-irion-2001-domaines-chateau-riquewihr-murailles-riesling-alsace/	Dopff & Irion 2001 Domaines du Château de Riquewihr Les Murailles Riesling (Alsace)	87	One of the great names in Riquewihr, Dopff et Irion owns the Murailles property close to the Schoenenbourg Grand Cru. It has attractive fresh fruits, with layers of green acidity, and tannins to give structure.	Roger Voss	Price||||$21,  Buy Now	Designation||||Domaines du Château de Riquewihr Les Murailles	Variety||||Riesling	Appellation||||Alsace, Alsace, France	Winery||||Dopff &amp; Irion	Alcohol||||N/A	Bottle Size||||750ML	Category||||White	Importer||||Dreyfus, Ashby &amp; Co	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/dr-h-thanisch-erben-muller-burggraef-2003-bernkasteler-badstube-kabinett-riesling-mosel-saar-ruwer/	Dr. H. Thanisch (Erben Müller-Burggraef) 2003 Bernkasteler Badstube Kabinett Riesling (Mosel-Saar-Ruwer)	87	Soft and mouthfilling, with apple, pear, citrus and mineral elements all elegantly intertwined. Finishes with hints of grapefruit and fuel oil. Drink over the next few years. Imported by W.J. Deutsch & Sons.	Joe Czerwinski	Price||||$19,  Buy Now	Designation||||Bernkasteler Badstube Kabinett	Variety||||Riesling	Appellation||||Mosel-Saar-Ruwer, Germany	Winery||||Dr. H. Thanisch (Erben Müller-Burggraef)	Alcohol||||8.9%	Bottle Size||||750ML	Category||||White	Importer||||Talbert Communications	Date Published||||5/1/2005	
https://www.winemag.com/buying-guide/feiler-artinger-2002-umriss-trocken-other-red-blaufrankisch-burgenland/	Feiler-Artinger 2002 Umriss Trocken Blaufränkisch (Burgenland)	87	Cranberry, orange zest and clove aromas with leather and cherry flavors. This medium-weight wine is complex enough to hold a taster's interest over a full meal, yet bold enough to serve with full-flavored dishes. Finishes with hints of chocolate and clove. Imported by Winemonger.	Joe Czerwinski	Price||||$20,  Buy Now	Designation||||Umriss Trocken	Variety||||Blaufränkisch, Other Red	Appellation||||Burgenland, Austria	Winery||||Feiler-Artinger	Alcohol||||13.5%	Bottle Size||||750ML	Category||||Red	Importer||||Winemonger	Date Published||||5/1/2005	
